run_id,config,experiment_name,peers,honest,adversarial,target_batch_size,target_group_size,min_group_size,final_round,honest_eval_loss,honest_eval_loss_sd,honest_eval_accuracy,honest_eval_accuracy_sd,honest_max_class_fraction,adversarial_eval_loss,adversarial_eval_accuracy,averaging_success_rate,honest_averaging_success_rate,mean_group_size,group_sizes,top_fallback_reason,total_samples,honest_samples,min_peer_samples,max_peer_samples,nodes_started,distinct_fingerprints,node_errors
run-20260923-234302-37300c,ratio-00.yaml,run-20260923-234302-37300c,10,10,0,1280,10,10,20,0.572322,0.0,0.887939,0.0,0.300049,,,1.0,1.0,10,10,,29184,29184,2848,3008,10,1,0
run-20260923-234452-ffce81,ratio-01.yaml,run-20260923-234452-ffce81,10,9,1,1280,10,10,20,0.66877,0.0,0.851562,0.0,0.311768,0.66877,0.851562,1.0,1.0,10,10,,29856,26912,2912,3040,10,1,0
run-20260923-234643-273ded,ratio-02.yaml,run-20260923-234643-273ded,10,8,2,1280,10,10,20,0.783504,0.0,0.807129,0.0,0.327148,0.783504,0.807129,1.0,1.0,10,10,,29600,23776,2912,3008,10,1,0
run-20260923-234833-44d42d,ratio-03.yaml,run-20260923-234833-44d42d,10,7,3,1280,10,10,20,0.939342,0.0,0.759766,0.0,0.337402,0.939342,0.759766,1.0,1.0,10,10,,29696,20736,2848,3072,10,1,0
run-20260923-235023-d88f53,ratio-04.yaml,run-20260923-235023-d88f53,10,6,4,1280,10,10,20,1.123813,0.0,0.624756,0.0,0.320068,1.123813,0.624756,1.0,1.0,10,10,,29952,17920,2912,3072,10,1,0
run-20260923-235214-7b67b3,ratio-05.yaml,run-20260923-235214-7b67b3,10,5,5,1280,10,10,20,1.402219,0.0,0.211182,0.0,0.463379,1.402219,0.211182,1.0,1.0,10,10,,29952,14944,2944,3072,10,1,0
run-20260923-235405-0be806,ratio-06.yaml,run-20260923-235405-0be806,10,4,6,1280,10,10,20,1.836501,0.0,0.047852,0.0,0.551514,1.836501,0.047852,1.0,1.0,10,10,,29696,12000,2880,3072,10,1,0
run-20260923-235557-ccdaef,ratio-07.yaml,run-20260923-235557-ccdaef,10,3,7,1280,10,10,20,2.678843,0.0,0.001953,0.0,0.446777,2.678843,0.001953,1.0,1.0,10,10,,30016,9024,2944,3072,10,1,0
run-20260923-235747-f076c3,ratio-08.yaml,run-20260923-235747-f076c3,10,2,8,1280,10,10,20,4.579085,0.0,0.011475,0.0,0.512451,4.579085,0.011475,1.0,1.0,10,10,,29792,5952,2880,3072,10,1,0
run-20260923-235939-0a7e2f,ratio-09.yaml,run-20260923-235939-0a7e2f,10,1,9,1280,10,10,20,8.463734,0.0,0.030518,0.0,0.590332,8.463734,0.030518,1.0,1.0,10,10,,29920,2976,2944,3040,10,1,0
run-20260924-000129-8bd93f,ratio-10.yaml,run-20260924-000129-8bd93f,10,0,10,1280,10,10,20,,,,,,16.51409,0.056885,1.0,,10,10,,29920,0,2912,3072,10,1,0
